sale_date,amount,category
2025-12-02 15:20:16.871136,100,0
2025-12-01 15:20:16.871150,110,1
2025-11-30 15:20:16.871155,120,2
2025-11-29 15:20:16.871162,130,0
2025-11-28 15:20:16.871170,140,1
2025-11-27 15:20:16.871174,150,2
2025-11-26 15:20:16.871177,160,0
2025-11-25 15:20:16.871181,170,1
2025-11-24 15:20:16.871184,180,2
2025-11-23 15:20:16.871188,190,0
2025-11-22 15:20:16.871191,200,1
2025-11-21 15:20:16.871197,210,2
2025-11-20 15:20:16.871205,220,0
2025-11-19 15:20:16.871209,230,1
2025-11-18 15:20:16.871212,240,2
2025-11-17 15:20:16.871218,250,0
2025-11-16 15:20:16.871226,260,1
2025-11-15 15:20:16.871230,270,2
2025-11-14 15:20:16.871233,280,0
2025-11-13 15:20:16.871236,290,1
