sale_date,amount,category
2025-12-02 12:30:25.607229,100,0
2025-12-01 12:30:25.607241,110,1
2025-11-30 12:30:25.607244,120,2
2025-11-29 12:30:25.607246,130,0
2025-11-28 12:30:25.607247,140,1
2025-11-27 12:30:25.607249,150,2
2025-11-26 12:30:25.607250,160,0
2025-11-25 12:30:25.607252,170,1
2025-11-24 12:30:25.607253,180,2
2025-11-23 12:30:25.607255,190,0
2025-11-22 12:30:25.607256,200,1
2025-11-21 12:30:25.607257,210,2
2025-11-20 12:30:25.607259,220,0
2025-11-19 12:30:25.607260,230,1
2025-11-18 12:30:25.607261,240,2
2025-11-17 12:30:25.607263,250,0
2025-11-16 12:30:25.607264,260,1
2025-11-15 12:30:25.607266,270,2
2025-11-14 12:30:25.607267,280,0
2025-11-13 12:30:25.607268,290,1
2025-12-02 12:30:25.659938,100,0
2025-12-01 12:30:25.659945,110,1
2025-11-30 12:30:25.659948,120,2
2025-11-29 12:30:25.659949,130,0
2025-11-28 12:30:25.659950,140,1
2025-11-27 12:30:25.659952,150,2
2025-11-26 12:30:25.659953,160,0
2025-11-25 12:30:25.659954,170,1
2025-11-24 12:30:25.659955,180,2
2025-11-23 12:30:25.659957,190,0
2025-11-22 12:30:25.659958,200,1
2025-11-21 12:30:25.659959,210,2
2025-11-20 12:30:25.659960,220,0
2025-11-19 12:30:25.659961,230,1
2025-11-18 12:30:25.659962,240,2
2025-11-17 12:30:25.659964,250,0
2025-11-16 12:30:25.659965,260,1
2025-11-15 12:30:25.659966,270,2
2025-11-14 12:30:25.659967,280,0
2025-11-13 12:30:25.659968,290,1
2025-12-02 12:35:22.051824,100,0
2025-12-01 12:35:22.051834,110,1
2025-11-30 12:35:22.051837,120,2
2025-11-29 12:35:22.051838,130,0
2025-11-28 12:35:22.051840,140,1
2025-11-27 12:35:22.051841,150,2
2025-11-26 12:35:22.051842,160,0
2025-11-25 12:35:22.051843,170,1
2025-11-24 12:35:22.051845,180,2
2025-11-23 12:35:22.051846,190,0
2025-11-22 12:35:22.051847,200,1
2025-11-21 12:35:22.051848,210,2
2025-11-20 12:35:22.051849,220,0
2025-11-19 12:35:22.051851,230,1
2025-11-18 12:35:22.051852,240,2
2025-11-17 12:35:22.051853,250,0
2025-11-16 12:35:22.051854,260,1
2025-11-15 12:35:22.051855,270,2
2025-11-14 12:35:22.051857,280,0
2025-11-13 12:35:22.051858,290,1
