sale_date,amount,category
2025-12-02 13:29:22.253595,100,0
2025-12-01 13:29:22.253606,110,1
2025-11-30 13:29:22.253612,120,2
2025-11-29 13:29:22.253616,130,0
2025-11-28 13:29:22.253624,140,1
2025-11-27 13:29:22.253630,150,2
2025-11-26 13:29:22.253634,160,0
2025-11-25 13:29:22.253638,170,1
2025-11-24 13:29:22.253641,180,2
2025-11-23 13:29:22.253645,190,0
2025-11-22 13:29:22.253649,200,1
2025-11-21 13:29:22.253652,210,2
2025-11-20 13:29:22.253658,220,0
2025-11-19 13:29:22.253666,230,1
2025-11-18 13:29:22.253677,240,2
2025-11-17 13:29:22.253682,250,0
2025-11-16 13:29:22.253686,260,1
2025-11-15 13:29:22.253690,270,2
2025-11-14 13:29:22.253707,280,0
2025-11-13 13:29:22.253731,290,1
