sale_date,amount,category
2025-12-02 15:23:28.712427,100,0
2025-12-01 15:23:28.712435,110,1
2025-11-30 15:23:28.712437,120,2
2025-11-29 15:23:28.712438,130,0
2025-11-28 15:23:28.712439,140,1
2025-11-27 15:23:28.712440,150,2
2025-11-26 15:23:28.712442,160,0
2025-11-25 15:23:28.712443,170,1
2025-11-24 15:23:28.712444,180,2
2025-11-23 15:23:28.712445,190,0
2025-11-22 15:23:28.712446,200,1
2025-11-21 15:23:28.712447,210,2
2025-11-20 15:23:28.712448,220,0
2025-11-19 15:23:28.712449,230,1
2025-11-18 15:23:28.712450,240,2
2025-11-17 15:23:28.712452,250,0
2025-11-16 15:23:28.712453,260,1
2025-11-15 15:23:28.712454,270,2
2025-11-14 15:23:28.712455,280,0
2025-11-13 15:23:28.712456,290,1
