sale_date,amount,category
2025-12-02 13:09:56.692981,100,0
2025-12-01 13:09:56.692994,110,1
2025-11-30 13:09:56.692997,120,2
2025-11-29 13:09:56.692998,130,0
2025-11-28 13:09:56.692999,140,1
2025-11-27 13:09:56.693000,150,2
2025-11-26 13:09:56.693002,160,0
2025-11-25 13:09:56.693003,170,1
2025-11-24 13:09:56.693004,180,2
2025-11-23 13:09:56.693005,190,0
2025-11-22 13:09:56.693006,200,1
2025-11-21 13:09:56.693007,210,2
2025-11-20 13:09:56.693008,220,0
2025-11-19 13:09:56.693009,230,1
2025-11-18 13:09:56.693010,240,2
2025-11-17 13:09:56.693011,250,0
2025-11-16 13:09:56.693012,260,1
2025-11-15 13:09:56.693014,270,2
2025-11-14 13:09:56.693015,280,0
2025-11-13 13:09:56.693016,290,1
