sale_date,amount,category
2025-12-02 12:55:51.866819,100,0
2025-12-01 12:55:51.866830,110,1
2025-11-30 12:55:51.866837,120,2
2025-11-29 12:55:51.866840,130,0
2025-11-28 12:55:51.866844,140,1
2025-11-27 12:55:51.866848,150,2
2025-11-26 12:55:51.866857,160,0
2025-11-25 12:55:51.866863,170,1
2025-11-24 12:55:51.866866,180,2
2025-11-23 12:55:51.866871,190,0
2025-11-22 12:55:51.866879,200,1
2025-11-21 12:55:51.866884,210,2
2025-11-20 12:55:51.866887,220,0
2025-11-19 12:55:51.866890,230,1
2025-11-18 12:55:51.866894,240,2
2025-11-17 12:55:51.866897,250,0
2025-11-16 12:55:51.866900,260,1
2025-11-15 12:55:51.866904,270,2
2025-11-14 12:55:51.866907,280,0
2025-11-13 12:55:51.866915,290,1
