sale_date,amount,category
2025-12-02 12:55:49.814918,100,0
2025-12-01 12:55:49.814926,110,1
2025-11-30 12:55:49.814928,120,2
2025-11-29 12:55:49.814929,130,0
2025-11-28 12:55:49.814931,140,1
2025-11-27 12:55:49.814932,150,2
2025-11-26 12:55:49.814933,160,0
2025-11-25 12:55:49.814934,170,1
2025-11-24 12:55:49.814935,180,2
2025-11-23 12:55:49.814936,190,0
2025-11-22 12:55:49.814937,200,1
2025-11-21 12:55:49.814938,210,2
2025-11-20 12:55:49.814939,220,0
2025-11-19 12:55:49.814940,230,1
2025-11-18 12:55:49.814941,240,2
2025-11-17 12:55:49.814942,250,0
2025-11-16 12:55:49.814943,260,1
2025-11-15 12:55:49.814944,270,2
2025-11-14 12:55:49.814945,280,0
2025-11-13 12:55:49.814946,290,1
