sale_date,amount,category
2025-12-02 13:29:25.098771,100,0
2025-12-01 13:29:25.098780,110,1
2025-11-30 13:29:25.098783,120,2
2025-11-29 13:29:25.098785,130,0
2025-11-28 13:29:25.098786,140,1
2025-11-27 13:29:25.098787,150,2
2025-11-26 13:29:25.098789,160,0
2025-11-25 13:29:25.098790,170,1
2025-11-24 13:29:25.098791,180,2
2025-11-23 13:29:25.098792,190,0
2025-11-22 13:29:25.098793,200,1
2025-11-21 13:29:25.098794,210,2
2025-11-20 13:29:25.098796,220,0
2025-11-19 13:29:25.098797,230,1
2025-11-18 13:29:25.098798,240,2
2025-11-17 13:29:25.098800,250,0
2025-11-16 13:29:25.098801,260,1
2025-11-15 13:29:25.098804,270,2
2025-11-14 13:29:25.098805,280,0
2025-11-13 13:29:25.098807,290,1
