sale_date,amount,category
2025-12-02 13:28:57.258865,100,0
2025-12-01 13:28:57.258877,110,1
2025-11-30 13:28:57.258882,120,2
2025-11-29 13:28:57.258886,130,0
2025-11-28 13:28:57.258890,140,1
2025-11-27 13:28:57.258894,150,2
2025-11-26 13:28:57.258898,160,0
2025-11-25 13:28:57.258901,170,1
2025-11-24 13:28:57.258905,180,2
2025-11-23 13:28:57.258909,190,0
2025-11-22 13:28:57.258913,200,1
2025-11-21 13:28:57.258919,210,2
2025-11-20 13:28:57.258924,220,0
2025-11-19 13:28:57.258928,230,1
2025-11-18 13:28:57.258935,240,2
2025-11-17 13:28:57.258941,250,0
2025-11-16 13:28:57.258946,260,1
2025-11-15 13:28:57.258951,270,2
2025-11-14 13:28:57.258956,280,0
2025-11-13 13:28:57.258961,290,1
