sale_date,amount,category
2025-12-02 15:20:14.989233,100,0
2025-12-01 15:20:14.989241,110,1
2025-11-30 15:20:14.989244,120,2
2025-11-29 15:20:14.989245,130,0
2025-11-28 15:20:14.989246,140,1
2025-11-27 15:20:14.989248,150,2
2025-11-26 15:20:14.989249,160,0
2025-11-25 15:20:14.989250,170,1
2025-11-24 15:20:14.989251,180,2
2025-11-23 15:20:14.989252,190,0
2025-11-22 15:20:14.989253,200,1
2025-11-21 15:20:14.989254,210,2
2025-11-20 15:20:14.989255,220,0
2025-11-19 15:20:14.989256,230,1
2025-11-18 15:20:14.989257,240,2
2025-11-17 15:20:14.989258,250,0
2025-11-16 15:20:14.989259,260,1
2025-11-15 15:20:14.989260,270,2
2025-11-14 15:20:14.989261,280,0
2025-11-13 15:20:14.989262,290,1
