sale_date,amount,category
2025-12-02 13:29:28.493987,100,0
2025-12-01 13:29:28.494022,110,1
2025-11-30 13:29:28.494031,120,2
2025-11-29 13:29:28.494035,130,0
2025-11-28 13:29:28.494042,140,1
2025-11-27 13:29:28.494050,150,2
2025-11-26 13:29:28.494054,160,0
2025-11-25 13:29:28.494059,170,1
2025-11-24 13:29:28.494066,180,2
2025-11-23 13:29:28.494073,190,0
2025-11-22 13:29:28.494077,200,1
2025-11-21 13:29:28.494081,210,2
2025-11-20 13:29:28.494084,220,0
2025-11-19 13:29:28.494088,230,1
2025-11-18 13:29:28.494092,240,2
2025-11-17 13:29:28.494096,250,0
2025-11-16 13:29:28.494104,260,1
2025-11-15 13:29:28.494120,270,2
2025-11-14 13:29:28.494125,280,0
2025-11-13 13:29:28.494129,290,1
