sale_date,amount,category
2025-12-02 15:23:24.169818,100,0
2025-12-01 15:23:24.169826,110,1
2025-11-30 15:23:24.169829,120,2
2025-11-29 15:23:24.169830,130,0
2025-11-28 15:23:24.169831,140,1
2025-11-27 15:23:24.169832,150,2
2025-11-26 15:23:24.169833,160,0
2025-11-25 15:23:24.169834,170,1
2025-11-24 15:23:24.169835,180,2
2025-11-23 15:23:24.169836,190,0
2025-11-22 15:23:24.169837,200,1
2025-11-21 15:23:24.169838,210,2
2025-11-20 15:23:24.169839,220,0
2025-11-19 15:23:24.169840,230,1
2025-11-18 15:23:24.169841,240,2
2025-11-17 15:23:24.169842,250,0
2025-11-16 15:23:24.169843,260,1
2025-11-15 15:23:24.169844,270,2
2025-11-14 15:23:24.169845,280,0
2025-11-13 15:23:24.169846,290,1
