sale_date,amount,category
2025-12-02 13:09:53.797206,100,0
2025-12-01 13:09:53.797214,110,1
2025-11-30 13:09:53.797217,120,2
2025-11-29 13:09:53.797218,130,0
2025-11-28 13:09:53.797219,140,1
2025-11-27 13:09:53.797220,150,2
2025-11-26 13:09:53.797221,160,0
2025-11-25 13:09:53.797223,170,1
2025-11-24 13:09:53.797224,180,2
2025-11-23 13:09:53.797225,190,0
2025-11-22 13:09:53.797226,200,1
2025-11-21 13:09:53.797227,210,2
2025-11-20 13:09:53.797228,220,0
2025-11-19 13:09:53.797229,230,1
2025-11-18 13:09:53.797230,240,2
2025-11-17 13:09:53.797231,250,0
2025-11-16 13:09:53.797232,260,1
2025-11-15 13:09:53.797233,270,2
2025-11-14 13:09:53.797234,280,0
2025-11-13 13:09:53.797235,290,1
