sale_date,amount,category
2025-12-02 13:26:52.874793,100,0
2025-12-01 13:26:52.874816,110,1
2025-11-30 13:26:52.874824,120,2
2025-11-29 13:26:52.874826,130,0
2025-11-28 13:26:52.874827,140,1
2025-11-27 13:26:52.874829,150,2
2025-11-26 13:26:52.874830,160,0
2025-11-25 13:26:52.874831,170,1
2025-11-24 13:26:52.874832,180,2
2025-11-23 13:26:52.874834,190,0
2025-11-22 13:26:52.874835,200,1
2025-11-21 13:26:52.874836,210,2
2025-11-20 13:26:52.874838,220,0
2025-11-19 13:26:52.874839,230,1
2025-11-18 13:26:52.874840,240,2
2025-11-17 13:26:52.874841,250,0
2025-11-16 13:26:52.874842,260,1
2025-11-15 13:26:52.874844,270,2
2025-11-14 13:26:52.874845,280,0
2025-11-13 13:26:52.874846,290,1
