sale_date,amount,category
2025-12-02 13:28:54.782694,100,0
2025-12-01 13:28:54.782704,110,1
2025-11-30 13:28:54.782707,120,2
2025-11-29 13:28:54.782708,130,0
2025-11-28 13:28:54.782710,140,1
2025-11-27 13:28:54.782711,150,2
2025-11-26 13:28:54.782712,160,0
2025-11-25 13:28:54.782713,170,1
2025-11-24 13:28:54.782714,180,2
2025-11-23 13:28:54.782715,190,0
2025-11-22 13:28:54.782716,200,1
2025-11-21 13:28:54.782717,210,2
2025-11-20 13:28:54.782718,220,0
2025-11-19 13:28:54.782719,230,1
2025-11-18 13:28:54.782720,240,2
2025-11-17 13:28:54.782721,250,0
2025-11-16 13:28:54.782722,260,1
2025-11-15 13:28:54.782725,270,2
2025-11-14 13:28:54.782726,280,0
2025-11-13 13:28:54.782727,290,1
