sale_date,amount,category
2025-12-02 12:35:24.715093,100,0
2025-12-01 12:35:24.715104,110,1
2025-11-30 12:35:24.715109,120,2
2025-11-29 12:35:24.715123,130,0
2025-11-28 12:35:24.715125,140,1
2025-11-27 12:35:24.715126,150,2
2025-11-26 12:35:24.715127,160,0
2025-11-25 12:35:24.715129,170,1
2025-11-24 12:35:24.715130,180,2
2025-11-23 12:35:24.715131,190,0
2025-11-22 12:35:24.715132,200,1
2025-11-21 12:35:24.715134,210,2
2025-11-20 12:35:24.715135,220,0
2025-11-19 12:35:24.715136,230,1
2025-11-18 12:35:24.715137,240,2
2025-11-17 12:35:24.715138,250,0
2025-11-16 12:35:24.715139,260,1
2025-11-15 12:35:24.715141,270,2
2025-11-14 12:35:24.715142,280,0
2025-11-13 12:35:24.715143,290,1
