sale_date,amount,category
2025-12-02 15:20:19.931749,100,0
2025-12-01 15:20:19.931758,110,1
2025-11-30 15:20:19.931762,120,2
2025-11-29 15:20:19.931766,130,0
2025-11-28 15:20:19.931769,140,1
2025-11-27 15:20:19.931772,150,2
2025-11-26 15:20:19.931776,160,0
2025-11-25 15:20:19.931780,170,1
2025-11-24 15:20:19.931786,180,2
2025-11-23 15:20:19.931793,190,0
2025-11-22 15:20:19.931797,200,1
2025-11-21 15:20:19.931800,210,2
2025-11-20 15:20:19.931808,220,0
2025-11-19 15:20:19.931814,230,1
2025-11-18 15:20:19.931818,240,2
2025-11-17 15:20:19.931821,250,0
2025-11-16 15:20:19.931825,260,1
2025-11-15 15:20:19.931828,270,2
2025-11-14 15:20:19.931831,280,0
2025-11-13 15:20:19.931835,290,1
