sale_date,amount,category
2025-12-02 13:26:55.910388,100,0
2025-12-01 13:26:55.910411,110,1
2025-11-30 13:26:55.910416,120,2
2025-11-29 13:26:55.910420,130,0
2025-11-28 13:26:55.910423,140,1
2025-11-27 13:26:55.910427,150,2
2025-11-26 13:26:55.910431,160,0
2025-11-25 13:26:55.910434,170,1
2025-11-24 13:26:55.910438,180,2
2025-11-23 13:26:55.910441,190,0
2025-11-22 13:26:55.910444,200,1
2025-11-21 13:26:55.910448,210,2
2025-11-20 13:26:55.910451,220,0
2025-11-19 13:26:55.910455,230,1
2025-11-18 13:26:55.910458,240,2
2025-11-17 13:26:55.910461,250,0
2025-11-16 13:26:55.910465,260,1
2025-11-15 13:26:55.910468,270,2
2025-11-14 13:26:55.910472,280,0
2025-11-13 13:26:55.910475,290,1
