sale_date,amount,category
2025-12-02 13:29:00.429184,100,0
2025-12-01 13:29:00.429194,110,1
2025-11-30 13:29:00.429197,120,2
2025-11-29 13:29:00.429198,130,0
2025-11-28 13:29:00.429200,140,1
2025-11-27 13:29:00.429201,150,2
2025-11-26 13:29:00.429203,160,0
2025-11-25 13:29:00.429204,170,1
2025-11-24 13:29:00.429206,180,2
2025-11-23 13:29:00.429207,190,0
2025-11-22 13:29:00.429208,200,1
2025-11-21 13:29:00.429210,210,2
2025-11-20 13:29:00.429211,220,0
2025-11-19 13:29:00.429212,230,1
2025-11-18 13:29:00.429213,240,2
2025-11-17 13:29:00.429215,250,0
2025-11-16 13:29:00.429216,260,1
2025-11-15 13:29:00.429217,270,2
2025-11-14 13:29:00.429218,280,0
2025-11-13 13:29:00.429220,290,1
