sale_date,amount,category
2025-12-02 12:37:38.711207,100,0
2025-12-01 12:37:38.711219,110,1
2025-11-30 12:37:38.711223,120,2
2025-11-29 12:37:38.711224,130,0
2025-11-28 12:37:38.711225,140,1
2025-11-27 12:37:38.711227,150,2
2025-11-26 12:37:38.711229,160,0
2025-11-25 12:37:38.711230,170,1
2025-11-24 12:37:38.711232,180,2
2025-11-23 12:37:38.711233,190,0
2025-11-22 12:37:38.711235,200,1
2025-11-21 12:37:38.711236,210,2
2025-11-20 12:37:38.711238,220,0
2025-11-19 12:37:38.711239,230,1
2025-11-18 12:37:38.711240,240,2
2025-11-17 12:37:38.711242,250,0
2025-11-16 12:37:38.711243,260,1
2025-11-15 12:37:38.711244,270,2
2025-11-14 12:37:38.711246,280,0
2025-11-13 12:37:38.711247,290,1
