sale_date,amount,category
2025-12-02 12:55:55.642445,100,0
2025-12-01 12:55:55.642452,110,1
2025-11-30 12:55:55.642455,120,2
2025-11-29 12:55:55.642456,130,0
2025-11-28 12:55:55.642458,140,1
2025-11-27 12:55:55.642459,150,2
2025-11-26 12:55:55.642461,160,0
2025-11-25 12:55:55.642462,170,1
2025-11-24 12:55:55.642463,180,2
2025-11-23 12:55:55.642464,190,0
2025-11-22 12:55:55.642466,200,1
2025-11-21 12:55:55.642467,210,2
2025-11-20 12:55:55.642468,220,0
2025-11-19 12:55:55.642470,230,1
2025-11-18 12:55:55.642471,240,2
2025-11-17 12:55:55.642472,250,0
2025-11-16 12:55:55.642473,260,1
2025-11-15 12:55:55.642475,270,2
2025-11-14 12:55:55.642476,280,0
2025-11-13 12:55:55.642477,290,1
