sale_date,amount,category
2025-12-02 13:55:59.747087,100,0
2025-12-01 13:55:59.747096,110,1
2025-11-30 13:55:59.747099,120,2
2025-11-29 13:55:59.747100,130,0
2025-11-28 13:55:59.747101,140,1
2025-11-27 13:55:59.747103,150,2
2025-11-26 13:55:59.747104,160,0
2025-11-25 13:55:59.747105,170,1
2025-11-24 13:55:59.747106,180,2
2025-11-23 13:55:59.747107,190,0
2025-11-22 13:55:59.747108,200,1
2025-11-21 13:55:59.747109,210,2
2025-11-20 13:55:59.747110,220,0
2025-11-19 13:55:59.747111,230,1
2025-11-18 13:55:59.747112,240,2
2025-11-17 13:55:59.747113,250,0
2025-11-16 13:55:59.747114,260,1
2025-11-15 13:55:59.747115,270,2
2025-11-14 13:55:59.747116,280,0
2025-11-13 13:55:59.747117,290,1
