sale_date,amount,category
2025-12-02 12:35:27.049657,100,0
2025-12-01 12:35:27.049669,110,1
2025-11-30 12:35:27.049673,120,2
2025-11-29 12:35:27.049674,130,0
2025-11-28 12:35:27.049675,140,1
2025-11-27 12:35:27.049677,150,2
2025-11-26 12:35:27.049678,160,0
2025-11-25 12:35:27.049680,170,1
2025-11-24 12:35:27.049681,180,2
2025-11-23 12:35:27.049682,190,0
2025-11-22 12:35:27.049683,200,1
2025-11-21 12:35:27.049685,210,2
2025-11-20 12:35:27.049686,220,0
2025-11-19 12:35:27.049687,230,1
2025-11-18 12:35:27.049688,240,2
2025-11-17 12:35:27.049689,250,0
2025-11-16 12:35:27.049691,260,1
2025-11-15 12:35:27.049692,270,2
2025-11-14 12:35:27.049693,280,0
2025-11-13 12:35:27.049695,290,1
