sale_date,amount,category
2025-12-02 12:37:32.180096,100,0
2025-12-01 12:37:32.180108,110,1
2025-11-30 12:37:32.180113,120,2
2025-11-29 12:37:32.180117,130,0
2025-11-28 12:37:32.180121,140,1
2025-11-27 12:37:32.180125,150,2
2025-11-26 12:37:32.180129,160,0
2025-11-25 12:37:32.180132,170,1
2025-11-24 12:37:32.180136,180,2
2025-11-23 12:37:32.180140,190,0
2025-11-22 12:37:32.180144,200,1
2025-11-21 12:37:32.180147,210,2
2025-11-20 12:37:32.180151,220,0
2025-11-19 12:37:32.180155,230,1
2025-11-18 12:37:32.180158,240,2
2025-11-17 12:37:32.180162,250,0
2025-11-16 12:37:32.180166,260,1
2025-11-15 12:37:32.180170,270,2
2025-11-14 12:37:32.180173,280,0
2025-11-13 12:37:32.180177,290,1
