sale_date,amount,category
2025-12-02 13:26:59.099134,100,0
2025-12-01 13:26:59.099154,110,1
2025-11-30 13:26:59.099158,120,2
2025-11-29 13:26:59.099159,130,0
2025-11-28 13:26:59.099161,140,1
2025-11-27 13:26:59.099162,150,2
2025-11-26 13:26:59.099164,160,0
2025-11-25 13:26:59.099165,170,1
2025-11-24 13:26:59.099166,180,2
2025-11-23 13:26:59.099167,190,0
2025-11-22 13:26:59.099169,200,1
2025-11-21 13:26:59.099170,210,2
2025-11-20 13:26:59.099171,220,0
2025-11-19 13:26:59.099172,230,1
2025-11-18 13:26:59.099173,240,2
2025-11-17 13:26:59.099174,250,0
2025-11-16 13:26:59.099175,260,1
2025-11-15 13:26:59.099177,270,2
2025-11-14 13:26:59.099178,280,0
2025-11-13 13:26:59.099179,290,1
