sale_date,amount,category
2025-12-02 12:37:35.104384,100,0
2025-12-01 12:37:35.104411,110,1
2025-11-30 12:37:35.104421,120,2
2025-11-29 12:37:35.104425,130,0
2025-11-28 12:37:35.104429,140,1
2025-11-27 12:37:35.104433,150,2
2025-11-26 12:37:35.104436,160,0
2025-11-25 12:37:35.104440,170,1
2025-11-24 12:37:35.104443,180,2
2025-11-23 12:37:35.104449,190,0
2025-11-22 12:37:35.104458,200,1
2025-11-21 12:37:35.104462,210,2
2025-11-20 12:37:35.104466,220,0
2025-11-19 12:37:35.104474,230,1
2025-11-18 12:37:35.104480,240,2
2025-11-17 12:37:35.104484,250,0
2025-11-16 12:37:35.104488,260,1
2025-11-15 12:37:35.104492,270,2
2025-11-14 12:37:35.104495,280,0
2025-11-13 12:37:35.104498,290,1
