sale_date,amount,category
2025-12-02 12:30:25.607229,100,0
2025-12-01 12:30:25.607241,110,1
2025-11-30 12:30:25.607244,120,2
2025-11-29 12:30:25.607246,130,0
2025-11-28 12:30:25.607247,140,1
2025-11-27 12:30:25.607249,150,2
2025-11-26 12:30:25.607250,160,0
2025-11-25 12:30:25.607252,170,1
2025-11-24 12:30:25.607253,180,2
2025-11-23 12:30:25.607255,190,0
2025-11-22 12:30:25.607256,200,1
2025-11-21 12:30:25.607257,210,2
2025-11-20 12:30:25.607259,220,0
2025-11-19 12:30:25.607260,230,1
2025-11-18 12:30:25.607261,240,2
2025-11-17 12:30:25.607263,250,0
2025-11-16 12:30:25.607264,260,1
2025-11-15 12:30:25.607266,270,2
2025-11-14 12:30:25.607267,280,0
2025-11-13 12:30:25.607268,290,1
