sale_date,amount,category
2025-12-02 13:09:52.004322,100,0
2025-12-01 13:09:52.004330,110,1
2025-11-30 13:09:52.004332,120,2
2025-11-29 13:09:52.004334,130,0
2025-11-28 13:09:52.004335,140,1
2025-11-27 13:09:52.004336,150,2
2025-11-26 13:09:52.004337,160,0
2025-11-25 13:09:52.004338,170,1
2025-11-24 13:09:52.004339,180,2
2025-11-23 13:09:52.004340,190,0
2025-11-22 13:09:52.004341,200,1
2025-11-21 13:09:52.004342,210,2
2025-11-20 13:09:52.004343,220,0
2025-11-19 13:09:52.004344,230,1
2025-11-18 13:09:52.004345,240,2
2025-11-17 13:09:52.004346,250,0
2025-11-16 13:09:52.004347,260,1
2025-11-15 13:09:52.004348,270,2
2025-11-14 13:09:52.004349,280,0
2025-11-13 13:09:52.004350,290,1
