sale_date,amount,category
2025-12-02 13:56:04.124678,100,0
2025-12-01 13:56:04.124686,110,1
2025-11-30 13:56:04.124688,120,2
2025-11-29 13:56:04.124689,130,0
2025-11-28 13:56:04.124691,140,1
2025-11-27 13:56:04.124692,150,2
2025-11-26 13:56:04.124693,160,0
2025-11-25 13:56:04.124695,170,1
2025-11-24 13:56:04.124696,180,2
2025-11-23 13:56:04.124697,190,0
2025-11-22 13:56:04.124698,200,1
2025-11-21 13:56:04.124699,210,2
2025-11-20 13:56:04.124700,220,0
2025-11-19 13:56:04.124701,230,1
2025-11-18 13:56:04.124702,240,2
2025-11-17 13:56:04.124703,250,0
2025-11-16 13:56:04.124705,260,1
2025-11-15 13:56:04.124706,270,2
2025-11-14 13:56:04.124707,280,0
2025-11-13 13:56:04.124708,290,1
