sale_date,amount,category
2025-12-02 13:56:01.706803,100,0
2025-12-01 13:56:01.706813,110,1
2025-11-30 13:56:01.706817,120,2
2025-11-29 13:56:01.706821,130,0
2025-11-28 13:56:01.706824,140,1
2025-11-27 13:56:01.706828,150,2
2025-11-26 13:56:01.706832,160,0
2025-11-25 13:56:01.706835,170,1
2025-11-24 13:56:01.706839,180,2
2025-11-23 13:56:01.706842,190,0
2025-11-22 13:56:01.706845,200,1
2025-11-21 13:56:01.706849,210,2
2025-11-20 13:56:01.706852,220,0
2025-11-19 13:56:01.706855,230,1
2025-11-18 13:56:01.706859,240,2
2025-11-17 13:56:01.706862,250,0
2025-11-16 13:56:01.706866,260,1
2025-11-15 13:56:01.706869,270,2
2025-11-14 13:56:01.706872,280,0
2025-11-13 13:56:01.706876,290,1
